Beam 50,Beam 52,ratio1
226380.9,121454,0.536502858677565
226376.5,121459.5,0.53653758230205
226355.4,121460.7,0.536592897717483
226376.8,121468,0.536574419286782
226366.6,121456.6,0.536548236356424
226371.8,121453.4,0.536521775238789
226359.4,121449.3,0.536533053188867
226371.8,121454,0.53652442574561
226364.3,121472.9,0.536625695836313
226363.1,121457.9,0.536562275388524
226371.8,121463.3,0.536565508601336
226368.6,121458.1,0.536550122234267
226352.6,121448.8,0.536546962570786
226364.5,121459.6,0.536566466915086
226340.6,121457.8,0.536615172001842
226359.8,121459.5,0.536577166086911
226356.8,121455.8,0.536567931690146
226336.3,121459,0.536630668611266
226358,121460.8,0.536587176066231
226342.8,121457.9,0.536610398033425
