08
H2O16c_ppm_se,H2O18c_ppm_se,HODc_ppm_se,
1.23213e+04,2.42284e+01,3.31991e+00,
1.22946e+04,2.41820e+01,3.30710e+00,
1.22887e+04,2.42192e+01,3.30076e+00,
1.22998e+04,2.41836e+01,3.29905e+00,
1.23174e+04,2.42359e+01,3.31939e+00,
1.23111e+04,2.42429e+01,3.30256e+00,
1.23177e+04,2.42704e+01,3.32830e+00,
1.23354e+04,2.42730e+01,3.33208e+00,
1.23144e+04,2.42348e+01,3.31551e+00,
1.23143e+04,2.42235e+01,3.30092e+00,
1.23232e+04,2.42614e+01,3.33022e+00,
1.22836e+04,2.42098e+01,3.31487e+00,
1.23228e+04,2.42310e+01,3.29731e+00,
1.23480e+04,2.42782e+01,3.32215e+00,
1.22903e+04,2.42022e+01,3.32154e+00,
1.23063e+04,2.41975e+01,3.32709e+00,
1.23161e+04,2.42258e+01,3.31532e+00,
1.22848e+04,2.41757e+01,3.31222e+00,
1.23304e+04,2.42212e+01,3.33371e+00,
1.23038e+04,2.42182e+01,3.30800e+00,
1.23233e+04,2.42418e+01,3.29913e+00,
1.22827e+04,2.41943e+01,3.31060e+00,
1.23002e+04,2.41953e+01,3.32596e+00,
1.22974e+04,2.42229e+01,3.32379e+00,
1.23026e+04,2.42210e+01,3.31552e+00,
1.23032e+04,2.42082e+01,3.32396e+00,
1.23201e+04,2.42177e+01,3.31730e+00,
1.23375e+04,2.42704e+01,3.32647e+00,
1.22778e+04,2.41529e+01,3.29568e+00,
1.22864e+04,2.42020e+01,3.32589e+00,
1.22980e+04,2.42032e+01,3.30080e+00,
1.23278e+04,2.42773e+01,3.34414e+00,
1.22838e+04,2.41879e+01,3.30343e+00,
1.23158e+04,2.42061e+01,3.33408e+00,
1.23368e+04,2.42592e+01,3.32287e+00,
1.22993e+04,2.41869e+01,3.29235e+00,
1.23016e+04,2.41888e+01,3.30283e+00,
1.23105e+04,2.42161e+01,3.29809e+00,
1.23348e+04,2.42689e+01,3.30986e+00,
1.23065e+04,2.41820e+01,3.31785e+00,
1.23093e+04,2.42125e+01,3.33200e+00,
1.22862e+04,2.41880e+01,3.32036e+00,
1.23323e+04,2.42558e+01,3.32922e+00,
1.22841e+04,2.41811e+01,3.30997e+00,
1.23185e+04,2.42440e+01,3.29927e+00,
1.22981e+04,2.41974e+01,3.32726e+00,
1.22744e+04,2.41445e+01,3.33322e+00,
1.22846e+04,2.41943e+01,3.31980e+00,
1.22693e+04,2.41509e+01,3.30607e+00,
1.22681e+04,2.41503e+01,3.30451e+00,
1.22809e+04,2.41519e+01,3.31571e+00,
1.22807e+04,2.41569e+01,3.31920e+00,
1.22628e+04,2.41245e+01,3.28900e+00,
1.22692e+04,2.41342e+01,3.30507e+00,
1.22689e+04,2.41412e+01,3.29649e+00,
1.22595e+04,2.40980e+01,3.31800e+00,
1.22916e+04,2.41663e+01,3.31271e+00,
1.22396e+04,2.40913e+01,3.28291e+00,
1.22891e+04,2.41840e+01,3.31888e+00,
1.22836e+04,2.41803e+01,3.29658e+00,
1.22753e+04,2.41294e+01,3.29915e+00,
1.22498e+04,2.40958e+01,3.30767e+00,
1.22776e+04,2.41715e+01,3.30710e+00,
1.22455e+04,2.40859e+01,3.30745e+00,
1.22687e+04,2.41330e+01,3.31431e+00,
1.22597e+04,2.41185e+01,3.30361e+00,
1.22602e+04,2.41340e+01,3.31788e+00,
1.22680e+04,2.41252e+01,3.32213e+00,
1.22798e+04,2.41643e+01,3.30452e+00,
1.22594e+04,2.41298e+01,3.30939e+00,
1.22382e+04,2.40709e+01,3.30061e+00,
1.22738e+04,2.41474e+01,3.31174e+00,
1.22637e+04,2.41608e+01,3.29166e+00,
1.22717e+04,2.41573e+01,3.29140e+00,
1.22609e+04,2.41351e+01,3.30507e+00,
1.22794e+04,2.41520e+01,3.30656e+00,
1.22479e+04,2.41181e+01,3.29700e+00,
1.22779e+04,2.41612e+01,3.31165e+00,
1.22700e+04,2.41457e+01,3.30481e+00,
1.22868e+04,2.41615e+01,3.31868e+00,
1.23120e+04,2.42103e+01,3.30414e+00,
1.22635e+04,2.41333e+01,3.30397e+00,
1.22650e+04,2.41380e+01,3.28565e+00,
